Climate_Zone,Zone_Name,Count,Mean,Std,Min,Q25,Median,Q75,Max
A,Tropical,50,1.8692999999999997,0.5274500750143591,1.0299999999999998,1.5125,1.86,2.21,2.9725
B,Arid,48,1.7159895833333334,0.4981197998429368,1.04,1.3375000000000001,1.5949999999999998,1.9818749999999998,2.985
C,Temperate,316,1.708815268987342,0.4027742607235911,1.01,1.4175,1.705,1.96,3.08
D,Continental,87,1.8343965517241378,0.4438533642335715,1.01,1.52625,1.7899999999999998,2.125,2.96
E,Polar,3,2.01,0.050000000000000044,1.96,1.9849999999999999,2.01,2.035,2.06
